split,method,case_name,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
test,CC sensitivity,high_capacity_3p0_soc0_95,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,3.663954291859628,3.740182885778273,5.0108008887230255,4.812093553504155,4.977005130827488,-2.412405219201105
test,CC sensitivity,low_capacity_2p8_soc0_90,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,11.420489878783481,11.453556462990079,12.942109040277003,12.80306970146888,12.942109040277003,-12.942109040277003
test,CC sensitivity,high_capacity_3p0_soc0_90,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,8.663954291859628,8.696465427842796,10.010800888723026,9.812093553504155,9.977005130827488,-7.412405219201105
test_average,CC sensitivity,capacity_2p9_soc0_90,AVERAGE_TEST_CYCLES,test_average,27448,10.059485780981074,10.059648023294573,10.19846702910248,10.140581587497644,10.167889127262457,-10.071288215715436
test_average,CC sensitivity,capacity_2p9_soc0_95,AVERAGE_TEST_CYCLES,test_average,27448,5.059485780981075,5.05980771806821,5.198467029102479,5.140581587497644,5.167889127262456,-5.071288215715437
test_average,CC sensitivity,high_capacity_3p0_soc0_100,AVERAGE_TEST_CYCLES,test_average,27448,1.2909468472694428,1.5001562667724346,2.6007291413755573,2.5586202640672417,2.5978083646555774,2.5978083646555774
test_average,CC sensitivity,high_capacity_3p0_soc0_90,AVERAGE_TEST_CYCLES,test_average,27448,8.709063057089722,8.74252284770046,10.005853219353304,9.850472246845477,9.986748297695447,-7.402191635344423
test_average,CC sensitivity,high_capacity_3p0_soc0_95,AVERAGE_TEST_CYCLES,test_average,27448,3.7090630570897205,3.786970298576191,5.005853219353303,4.850472246845477,4.986748297695448,-2.4021916353444226
test_average,CC sensitivity,ideal_capacity_2p9_soc0_100,AVERAGE_TEST_CYCLES,test_average,27448,0.07481171990460637,0.08691616574023887,0.1984670291024789,0.14394239879067464,0.1678891272624566,-0.07128821571543635
test_average,CC sensitivity,low_capacity_2p8_soc0_100,AVERAGE_TEST_CYCLES,test_average,27448,1.5063684852411632,1.7484199140666457,2.9459076850421915,2.8777797624865435,2.931034551826604,-2.931034551826604
test_average,CC sensitivity,low_capacity_2p8_soc0_90,AVERAGE_TEST_CYCLES,test_average,27448,11.506367270864542,11.540530253701702,12.945907685042192,12.877779762486545,12.931034551826604,-12.931034551826604
test_average,CC sensitivity,low_capacity_2p8_soc0_95,AVERAGE_TEST_CYCLES,test_average,27448,6.5063672708645415,6.56659360760183,7.945907685042191,7.8777797624865435,7.931034551826603,-7.931034551826603
