train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
10,10,test,Filtered Tiny CNN-LSTM Student,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3841.0,0.727,0.8626,3.0575,1.6035,2.1492,2.0797,within_10degC
10,10,test,Filtered Tiny CNN-LSTM Student,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3841.0,0.515,0.7607,3.3184,1.8934,2.3712,2.3831,within_10degC
10,10,test,Filtered Tiny CNN-LSTM Student,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3841.0,0.9176,1.2892,4.3821,2.9337,3.753,4.3821,within_10degC
10,10,test,Filtered Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3841.0,0.8382,1.0775,3.5567,2.0474,2.8076,-0.5916,within_10degC
10,10,test,Filtered Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3841.0,0.7267,0.8655,3.1078,1.5533,1.934,-0.0194,within_10degC
10,10,test,Filtered Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3841.0,0.9909,1.1811,3.4472,2.1143,2.9813,2.0988,within_10degC
0,0,test,Instantaneous MLP,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,,2.0224,2.6709,12.2458,5.3454,7.2697,4.3107,within_0degC
0,0,test,Instantaneous MLP,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,,2.9943,3.9385,39.1529,7.8957,12.2103,5.4474,within_0degC
0,0,test,Instantaneous MLP,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,,1.5668,2.1588,22.7045,4.4849,5.9929,4.5686,within_0degC
0,0,test,Filtered-feature MLP,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,,0.856,1.0231,6.2075,1.9057,2.8638,3.0289,within_0degC
0,0,test,Filtered-feature MLP,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,,1.3587,1.5908,6.0948,2.8796,3.5411,1.1543,within_0degC
0,0,test,Filtered-feature MLP,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,,0.7388,0.9699,5.3252,1.8906,3.0,3.5398,within_0degC
0,0,test,LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,5825.0,0.9706,1.1765,3.255,2.2206,2.6633,1.5684,within_0degC
0,0,test,LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,5825.0,0.9783,1.2408,5.3945,2.4653,3.3694,0.5402,within_0degC
0,0,test,LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,5825.0,0.6941,0.8743,3.0198,1.7497,2.2005,2.453,within_0degC
0,0,test,CNN-LSTM Teacher,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,48769.0,1.086,1.3857,4.7748,2.6316,4.5568,4.6095,within_0degC
0,0,test,CNN-LSTM Teacher,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,48769.0,1.304,1.6907,8.1259,3.4499,4.856,1.499,within_0degC
0,0,test,CNN-LSTM Teacher,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,48769.0,0.7678,1.0711,5.7512,1.9984,4.6461,4.8835,within_0degC
0,0,test,Tiny CNN-LSTM Student,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3361.0,2.1024,2.5088,7.0674,4.9579,5.7758,3.9582,within_0degC
0,0,test,Tiny CNN-LSTM Student,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3361.0,1.898,2.3972,9.2584,4.6642,5.7682,-0.3733,within_0degC
0,0,test,Tiny CNN-LSTM Student,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3361.0,1.4315,1.8803,6.7282,4.1308,5.338,4.1765,within_0degC
0,0,test,Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3361.0,1.3844,1.7243,5.5783,3.335,4.5302,2.4774,within_0degC
0,0,test,Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3361.0,1.5844,2.1374,8.713,4.5725,6.2409,0.9889,within_0degC
0,0,test,Distilled Tiny CNN-LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3361.0,0.8578,1.157,4.5397,2.4771,3.5058,3.0161,within_0degC
0,0,test,Filtered CNN-LSTM Teacher,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,50689.0,0.7814,0.9397,3.03,1.7815,2.2751,1.4554,within_0degC
0,0,test,Filtered CNN-LSTM Teacher,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,50689.0,1.5174,1.9934,6.5386,4.2958,5.6585,-0.229,within_0degC
0,0,test,Filtered CNN-LSTM Teacher,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,50689.0,0.7062,0.9833,4.0815,2.1603,3.1665,2.2901,within_0degC
0,0,test,Filtered Tiny CNN-LSTM Student,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3841.0,1.3173,1.4915,4.3553,2.2765,3.8693,0.8927,within_0degC
0,0,test,Filtered Tiny CNN-LSTM Student,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3841.0,1.5289,1.6976,3.9409,2.6536,3.0732,0.1898,within_0degC
0,0,test,Filtered Tiny CNN-LSTM Student,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3841.0,0.8807,1.1262,4.176,2.3274,3.627,1.5028,within_0degC
0,0,test,Filtered Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3841.0,1.1501,1.5423,10.5765,3.3832,4.6004,-0.6541,within_0degC
0,0,test,Filtered Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3841.0,1.3927,1.6419,5.3139,2.8822,3.5363,-1.2691,within_0degC
0,0,test,Filtered Distilled Tiny CNN-LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3841.0,1.0794,1.3757,5.4858,2.8266,4.1484,0.0271,within_0degC
25,25,test,Instantaneous MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,1.3107,1.6465,13.8947,3.0842,4.0785,4.0785,transfer_from_25degC
25,25,test,Instantaneous MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,1.4027,1.8858,16.7613,3.6943,5.9012,1.4972,transfer_from_25degC
25,25,test,Instantaneous MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,1.8466,2.4267,25.5912,4.5601,7.6376,0.2793,transfer_from_25degC
25,10,test,Instantaneous MLP,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,,16.5178,18.7165,46.1348,31.3301,34.3139,34.9217,transfer_from_25degC
25,10,test,Instantaneous MLP,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,,14.4388,16.4137,40.1504,28.3752,32.1073,33.567,transfer_from_25degC
25,10,test,Instantaneous MLP,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,,21.1365,23.4737,46.4683,37.148,40.9776,41.8399,transfer_from_25degC
25,0,test,Instantaneous MLP,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,,32.0057,35.7754,63.198,54.5342,61.7933,63.198,transfer_from_25degC
