train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
10,10,test,Filtered Tiny CNN-LSTM Student,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3841.0,1.0001,1.3208,6.5927,2.5224,4.0904,6.5927,within_10degC
10,10,test,Filtered Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3841.0,1.0892,1.26,4.063,2.1106,3.4491,2.0441,within_10degC
10,10,test,Filtered Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3841.0,0.6358,0.8003,3.6825,1.5573,2.2434,2.0987,within_10degC
10,10,test,Filtered Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3841.0,0.9837,1.433,5.6183,3.1099,3.8788,5.6183,within_10degC
0,0,test,Instantaneous MLP,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,,2.0224,2.6709,12.2458,5.3454,7.2697,4.3107,within_0degC
0,0,test,Instantaneous MLP,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,,2.9943,3.9385,39.1529,7.8957,12.2103,5.4474,within_0degC
0,0,test,Instantaneous MLP,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,,1.5668,2.1588,22.7045,4.4849,5.9929,4.5686,within_0degC
0,0,test,Filtered-feature MLP,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,,0.856,1.0231,6.2075,1.9057,2.8638,3.0289,within_0degC
0,0,test,Filtered-feature MLP,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,,1.3587,1.5908,6.0948,2.8796,3.5411,1.1543,within_0degC
0,0,test,Filtered-feature MLP,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,,0.7388,0.9699,5.3252,1.8906,3.0,3.5398,within_0degC
0,0,test,LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,5825.0,1.0198,1.2372,3.3839,2.3415,2.8325,2.3894,within_0degC
0,0,test,LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,5825.0,1.118,1.4114,5.5746,2.7306,3.7488,1.0933,within_0degC
0,0,test,LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,5825.0,0.6504,0.86,5.1709,1.7336,2.5862,3.1335,within_0degC
0,0,test,CNN-LSTM Teacher,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,48769.0,1.1239,1.3767,4.2038,2.5491,3.8679,3.8732,within_0degC
0,0,test,CNN-LSTM Teacher,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,48769.0,1.2076,1.5776,5.4385,3.4241,4.3105,1.0627,within_0degC
0,0,test,CNN-LSTM Teacher,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,48769.0,0.8665,1.1186,4.2861,2.0882,3.9453,4.0135,within_0degC
0,0,test,Tiny CNN-LSTM Student,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3361.0,1.7164,2.0078,5.0939,3.637,4.338,2.8002,within_0degC
0,0,test,Tiny CNN-LSTM Student,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3361.0,1.5834,1.9834,6.234,3.7885,4.8126,2.1129,within_0degC
0,0,test,Tiny CNN-LSTM Student,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3361.0,1.2207,1.5459,4.5514,3.1059,4.1649,3.4839,within_0degC
0,0,test,Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3361.0,2.0647,2.442,7.4377,4.4419,5.6389,3.2913,within_0degC
